,Unnamed: 0,Name,id,likes,date,posts,retweets
86,86,HoustonRockets,19077044,263,2019-03-01 01:55:31,.@Gary11_Clark on the board! 🏀 https://t.co/qwIOVHqdRw,38
87,87,HoustonRockets,19077044,269,2019-03-01 01:46:24,GG14 ➡️ CC15 🚀 https://t.co/ExS7Lfg1u0,31
88,88,HoustonRockets,19077044,628,2019-03-01 01:39:24,"🔴⚪️⚪️⚪️

#Rockets 33 l Heat 32

📊 @JHarden13 14PTS https://t.co/ssykORvEhq",74
89,89,HoustonRockets,19077044,1496,2019-03-01 01:35:13,James Harden with the range! 🔥 https://t.co/dozmaBNkiq,337
90,90,HoustonRockets,19077044,616,2019-03-01 01:24:01,"The Beard giving us the lead! 

#Rockets 23 l Heat 19 https://t.co/JUVYKbUyTN",119
91,91,HoustonRockets,19077044,2108,2019-03-01 01:21:08,👀 SHEESH @CP3 https://t.co/gHsq0kS07V,429
92,92,HoustonRockets,19077044,256,2019-03-01 01:18:08,"PJ TUCK3R 

📺 @ATTSportsNetSW https://t.co/yWaGf5dRlP",33
93,93,HoustonRockets,19077044,434,2019-03-01 01:16:01,"C
P
3
🔥 https://t.co/u3ZOvrffCz",69
94,94,HoustonRockets,19077044,239,2019-03-01 01:09:54,"Tonight's 🚀 Starters: 

F PJ Tucker
F @Gary11_Clark 
C @CapelaClint 
G @CP3
G @JHarden13 https://t.co/qYmEVwgSZA",45
95,95,HoustonRockets,19077044,243,2019-03-01 00:33:36,"🏀 ✍️

Fan Connection | @rokitofficial https://t.co/Iz3N5OawjO",25
96,96,HoustonRockets,19077044,545,2019-03-01 00:20:13,💪 @JHarden13 💪 https://t.co/wHoVpXj1ek,66
97,97,HoustonRockets,19077044,488,2019-03-01 00:12:41,"We’re taking on the Heat! 🚀

#TissotStyleWatch | @TISSOT https://t.co/jde4lU9y2y",80
98,98,HoustonRockets,19077044,2797,2019-02-28 23:08:52,#OneLastDance https://t.co/0r7aUk5yUK,580
99,99,HoustonRockets,19077044,125,2019-02-28 22:30:00,"Tonight’s First Shot will be taken by Grammy winner @YolandaAdams. She will also be performing ""Lift Every Voice An… https://t.co/gkjzgI3MQF",23
100,0,Lakers,20346956,408,2019-03-05 07:23:32,🎥 Josh Hart talks about fighting through his injuries and the need to win every possession. https://t.co/BTidi0YIxF,66
101,1,Lakers,20346956,509,2019-03-05 07:15:36,🎥 Rajon Rondo talks about becoming the second player in NBA history to notch a triple-double with five different te… https://t.co/UWFIg7lpNl,88
102,2,Lakers,20346956,1013,2019-03-05 07:13:44,🎥 LeBron James talks about taking things one game at a time and fighting through adversity. https://t.co/42Y40pCpCA,179
103,3,Lakers,20346956,0,2019-03-05 06:49:37,"RT @LakersReporter: X-Rays were negative on Kyle Kuzma’s sprained right ankle. As Luke Walton said, though, it’d be a surprise to see him b…",116
104,4,Lakers,20346956,391,2019-03-05 06:46:31,"🎥 Although the team’s mindset was in the right place, Luke feels missed opportunities and injuries took their toll. https://t.co/hW06tBA7Kg",62
105,5,Lakers,20346956,1599,2019-03-05 05:58:40,Final tally from STAPLES. https://t.co/2iOZ4xCwMv,351
106,6,Lakers,20346956,2052,2019-03-05 05:52:10,"First triple-double of the season for @RajonRondo. 

He becomes the second player in NBA history with a triple-doub… https://t.co/tai6CZpO8S",292
107,7,Lakers,20346956,1378,2019-03-05 05:37:25,S A U C E https://t.co/BaxzrxIquE,170
108,8,Lakers,20346956,834,2019-03-05 05:35:52,Rondo giving English lessons with the reverse layup! 📚📚📚,95
109,9,Lakers,20346956,439,2019-03-05 05:33:37,".@ReggieBullock35 closes out the third quarter!

#LakeShow (📺: @SpectrumSN &amp; NBA TV) https://t.co/LyVSsehzoz",63
110,10,Lakers,20346956,412,2019-03-05 05:26:33,"Taking this one into the final frame. 

Rondo: 20 pts, 9 ast, 8 reb
James: 20 pts https://t.co/gMx9F71KRs",69
111,11,Lakers,20346956,526,2019-03-05 05:24:18,🚨 Bullock backpedals into the buzzer-beater! 🚨,65
112,12,Lakers,20346956,555,2019-03-05 05:22:00,"Josh Hart through contact! 💪

#LakeShow (📺: @SpectrumSN &amp; NBA TV) https://t.co/66oD3C9TpA",75
